crop_name,soil_type,crop_age_days,day_of_year,temperature_C,humidity_%,rainfall_mm,effective_rainfall_mm,solar_radiation_MJ_m2_day,wind_speed_m_s,field_capacity_%,wilting_point_%,soil_moisture_%,reference_evapotranspiration_ET0_mm_day,crop_coefficient_Kc,application_efficiency_%,root_zone_depth_m,available_water_content_mm_per_m,irrigation_interval_days,p_fraction,irrigate,irrigation_amount_m3
Tomato,Sandy Loam,78,316,17.37,68.92,2.23,1.18,10.9,1.85,22.13,9.27,17.8,2.765,1.15,57.08,1.178,151.49,10,0.402,0,0.0
Apple,Clay Loam,169,340,3.73,70.1,3.54,2.72,3.0,2.72,36.88,21.93,30.09,1.006,1.2,61.41,1.94,290.03,6,0.55,0,0.0
Apple,Clay Loam,101,339,6.88,63.99,0.83,0.51,5.73,0.6,36.69,22.93,30.13,1.072,1.2,74.2,1.277,175.72,8,0.531,0,0.0
Apple,Clay Loam,71,7,5.16,73.3,0.1,0.07,7.3,2.27,36.12,22.43,31.29,1.378,1.065,59.09,1.228,168.11,8,0.57,0,0.0
Tomato,Sandy Loam,6,272,25.08,76.68,5.19,2.86,15.39,0.91,23.32,9.69,16.73,3.705,0.6,82.4,1.091,148.7,13,0.398,1,1134.3
Tomato,Clay Loam,112,132,22.55,71.89,0.77,0.5,19.19,4.47,36.1,22.52,29.45,5.015,1.122,87.12,1.327,180.21,7,0.384,1,709.04
Apple,Loam,174,58,11.46,75.64,0.57,0.35,10.33,3.63,30.82,14.96,21.92,2.225,1.14,70.9,1.737,275.49,2,0.568,0,0.0
Tomato,Sandy Loam,16,239,34.88,51.36,0.0,0.0,16.91,1.76,22.85,10.49,19.95,6.088,0.6,75.13,0.796,98.39,4,0.38,1,122.9
Apple,Silty Loam,162,73,10.61,68.51,3.05,1.81,14.52,3.04,36.16,14.8,25.7,2.879,1.2,78.39,1.469,313.78,8,0.559,0,0.0
Potato,Loam,34,110,11.44,76.17,1.13,0.59,13.78,4.43,30.85,14.84,22.56,2.634,0.695,79.63,0.403,64.52,1,0.361,1,41.95
Apple,Loam,19,189,31.71,35.47,0.17,0.1,22.58,0.5,29.41,14.57,25.98,6.239,0.45,88.8,1.057,156.86,10,0.571,0,0.0
Apple,Loam,12,68,10.8,64.91,2.19,1.26,9.87,3.39,31.82,14.78,16.05,2.529,0.45,68.64,1.98,337.39,3,0.586,1,1364.71
Apple,Loam,10,84,16.01,72.7,0.36,0.29,12.63,2.45,31.2,13.44,28.69,2.924,0.45,88.0,1.938,344.19,5,0.597,0,0.0
Potato,Sandy Loam,110,10,5.72,83.9,1.28,0.99,10.26,1.01,22.0,10.76,11.76,1.49,1.017,61.91,0.6,67.44,8,0.398,1,793.93
Tomato,Loam,58,135,20.59,76.76,0.15,0.11,21.88,2.49,31.84,14.01,31.29,4.744,0.985,85.13,1.405,250.51,1,0.431,1,33.01
Tomato,Sandy Loam,61,51,8.94,74.11,0.9,0.63,11.97,0.71,21.88,9.4,13.35,2.028,1.026,89.82,0.501,62.52,3,0.377,1,142.74
Grape,Sandy,161,31,12.41,71.61,0.79,0.51,11.81,0.6,16.51,8.36,9.36,2.227,0.85,81.81,0.604,49.23,9,0.488,1,475.09
Tomato,Sandy Loam,98,118,16.17,66.75,1.05,0.63,22.18,2.99,23.24,9.47,15.15,4.688,1.15,79.53,0.553,76.15,11,0.42,1,618.78
Apple,Silty Loam,102,4,7.08,69.55,4.82,2.64,6.81,3.99,34.97,14.02,29.92,1.769,1.2,76.83,1.256,263.13,10,0.515,0,0.0
Grape,Loam,115,2,11.3,78.0,0.19,0.12,10.52,1.93,31.25,14.08,24.65,2.012,0.85,60.59,0.853,146.46,8,0.458,0,0.0
Potato,Silt Loam,57,247,27.17,53.46,0.45,0.34,18.0,4.01,32.91,12.52,27.9,6.801,1.15,77.19,0.455,92.77,1,0.371,1,29.53
Tomato,Loam,120,146,19.29,76.78,0.65,0.35,21.37,3.68,29.64,13.34,20.29,4.522,1.01,89.35,1.401,228.36,12,0.405,1,1759.29
Grape,Sandy,27,226,35.83,42.24,0.03,0.01,22.95,3.29,18.16,7.39,8.39,9.592,0.396,74.17,0.525,56.54,8,0.525,1,553.24
Apple,Clay Loam,112,9,9.68,75.14,2.08,1.11,9.26,2.42,37.45,22.5,31.19,1.863,1.2,88.01,1.931,288.68,9,0.572,0,0.0
Potato,Loam,94,108,13.85,74.36,0.89,0.47,13.13,0.8,29.13,14.46,18.15,2.545,1.15,55.77,0.458,67.19,13,0.351,1,1172.22
Apple,Silty Loam,180,16,7.46,83.54,2.13,1.29,8.48,4.26,34.16,13.13,24.45,1.426,1.05,72.86,1.395,293.37,4,0.547,0,0.0
Apple,Clay Loam,48,15,-0.16,61.6,2.3,1.48,8.94,1.43,36.25,22.14,31.8,1.331,0.72,73.71,1.873,264.28,4,0.54,0,0.0
Tomato,Sandy Loam,55,145,18.96,75.96,1.19,0.84,17.75,0.65,23.04,9.75,18.87,3.73,0.944,75.71,1.292,171.71,11,0.412,0,0.0
Grape,Loam,39,117,20.89,51.43,0.04,0.03,24.48,4.0,32.09,13.23,28.82,6.876,0.561,84.63,0.979,184.64,5,0.478,1,189.14
Tomato,Clay Loam,123,222,24.35,51.27,0.26,0.18,23.77,2.52,37.13,21.73,25.48,6.828,0.968,77.69,1.132,174.33,12,0.392,1,2036.99
Grape,Sandy,42,205,24.9,25.79,0.0,0.0,22.25,3.64,17.81,8.5,16.55,8.901,0.603,81.59,0.549,51.11,13,0.546,1,174.95
Apple,Loam,144,223,29.34,35.97,0.34,0.24,25.02,1.98,31.07,13.23,26.92,8.198,1.2,66.84,1.046,186.61,6,0.596,1,389.67
Tomato,Clay Loam,37,178,27.07,62.59,0.05,0.03,20.75,2.06,37.67,21.6,29.48,5.844,0.696,60.24,0.764,122.77,7,0.435,1,727.09
Grape,Loam,89,350,18.83,69.96,1.1,0.84,10.79,1.71,31.71,14.77,29.27,2.781,0.85,70.48,0.599,101.47,6,0.487,0,0.0
Grape,Sandy,165,308,18.06,72.16,0.67,0.49,7.54,3.44,17.56,7.02,12.29,2.543,0.85,61.58,0.894,94.23,12,0.507,0,0.0
Apple,Loam,48,149,18.28,53.76,2.37,1.45,15.81,0.88,30.05,14.2,20.67,3.717,0.72,67.99,1.953,309.55,12,0.561,1,3233.26
Tomato,Clay Loam,29,335,14.27,65.35,0.64,0.47,12.19,3.13,35.33,22.8,28.58,3.116,0.6,60.52,1.263,158.25,13,0.381,1,1831.27
Tomato,Sandy Loam,32,98,16.25,79.22,0.87,0.56,20.75,3.21,23.45,9.25,18.48,3.914,0.627,55.87,0.663,94.15,6,0.418,0,0.0
Potato,Sandy Loam,81,102,20.35,83.51,0.08,0.04,10.87,0.97,21.07,9.41,17.21,2.376,1.15,84.36,0.517,60.28,13,0.382,0,0.0
Apple,Loam,169,79,10.99,65.09,0.48,0.37,10.05,3.25,32.99,13.07,21.47,2.538,1.2,75.68,1.674,333.46,5,0.578,1,1274.08
